variant,date,side,entry_ix,exit_ix,entry_px,exit_px,stop,tp,exit_reason,pnl_ticks,pnl_dollars,bars_held
n4_pct_no_vol,2026-03-31,long,96,97,23505.75,23495.75,23495.75,23525.75,stop,-40.00,-20.00,1
n4_pct_no_vol,2026-03-31,short,120,123,23479.25,23459.25,23489.25,23459.25,take_profit,80.00,40.00,3
n4_pct_no_vol,2026-04-02,short,112,113,24124.25,24134.25,24134.25,24104.25,stop,-40.00,-20.00,1
n4_pct_no_vol,2026-04-02,long,275,276,24138.75,24128.75,24128.75,24158.75,stop,-40.00,-20.00,1
n4_pct_no_vol,2026-04-06,short,34,35,24292.25,24302.25,24302.25,24272.25,stop,-40.00,-20.00,1
n4_pct_no_vol,2026-04-07,long,53,55,24119.75,24109.75,24109.75,24139.75,stop,-40.00,-20.00,2
n4_pct_no_vol,2026-04-07,long,345,346,24142.00,24162.00,24132.00,24162.00,take_profit,80.00,40.00,1
n4_pct_no_vol,2026-04-09,long,75,76,25009.75,24999.75,24999.75,25029.75,stop,-40.00,-20.00,1
n5_pct_long_morning,2026-03-23,long,91,92,24646.50,24666.50,24636.50,24666.50,take_profit,80.00,40.00,1
n5_pct_long_morning,2026-03-24,long,30,31,24242.25,24232.25,24232.25,24262.25,stop,-40.00,-20.00,1
n5_pct_long_morning,2026-03-25,long,42,43,24437.25,24427.25,24427.25,24457.25,stop,-40.00,-20.00,1
n5_pct_long_morning,2026-03-25,long,120,121,24434.75,24424.75,24424.75,24454.75,stop,-40.00,-20.00,1
n5_pct_long_morning,2026-03-31,long,96,97,23505.75,23495.75,23495.75,23525.75,stop,-40.00,-20.00,1
n5_pct_long_morning,2026-04-07,long,53,55,24119.75,24109.75,24109.75,24139.75,stop,-40.00,-20.00,2
n5_pct_long_morning,2026-04-09,long,75,76,25009.75,24999.75,24999.75,25029.75,stop,-40.00,-20.00,1
n6_pct_adaptive_stop,2026-04-06,short,34,40,24292.25,24322.25,24322.25,24232.25,stop,-120.00,-60.00,6
